Name,Score,Date,Game time,;
asd,0,2018-06-16,00:30,;
,0,2018-06-16,00:07,;
,0,2018-06-16,00:07,;
sdf,0,2018-06-16,00:06,;
dfg,0,2018-06-16,00:09,;
asd,0,2018-06-16,00:09,;
dfg,0,2018-06-16,00:46,;
xfd,1,2018-06-16,00:17,;
ghh,0,2018-06-16,00:07,;
,0,2018-06-16,00:41,;
,0,2018-06-16,00:29,;
,0,2018-06-16,00:38,;
zxc,0,2018-06-16,00:34,;
,1,2018-06-16,04:32,;
,101,2018-06-16,00:40,;
edfg,1,2018-06-16,00:30,;
cvb,1,2018-06-16,00:09,;
nmm,1,2018-06-16,00:10,;
,1,2018-06-16,00:12,;
,0,2018-06-16,00:10,;
,101,2018-06-16,00:28,;
ert,0,2018-06-16,00:03,;
,101,2018-06-16,00:25,;
gh,201,2018-06-16,00:32,;
sd,0,2018-06-16,00:12,;
asd,301,2018-06-16,01:24,;
swd,1,2018-06-17,00:32,;
sdf,101,2018-06-17,00:15,;
asdasd,1901,2018-06-17,00:23,;
asd,4401,2018-06-17,00:28,;
,0,2018-06-17,00:22,;
sdf,1,2018-06-17,00:22,;
zxc,1101,2018-06-17,00:54,;
fdg,101,2018-06-17,00:29,;
ghj,101,2018-06-17,00:32,;
sdf,104,2018-06-17,00:50,;
asd,101,2018-06-17,01:10,;
xf,101,2018-06-17,00:56,;
dfsfd,101,2018-06-17,00:27,;
yuu,101,2018-06-17,01:45,;
,0,2018-06-17,00:02,;
tyty,101,2018-06-17,00:34,;
hjhj,101,2018-06-17,00:38,;
dsd,1,2018-06-17,00:47,;
asd,0,2018-06-17,00:27,;
asd,501,2018-06-17,00:57,;
Blazo,101,2018-06-17,00:25,;
asd,6,2018-06-17,00:34,;
dfg,203,2018-06-17,00:24,;
awd,9,2018-06-17,00:10,;
dfg,0,2018-06-17,00:02,;
asd,312,2018-06-17,00:29,;
sdf,106,2018-06-17,00:28,;
jghjk,106,2018-06-17,00:49,;
sdf,0,2018-06-17,00:06,;
asdad,805,2018-06-17,00:54,;
sdf,523,2018-06-17,00:23,;
xcv,17,2018-06-17,00:05,;
sdf,1,2018-06-17,00:05,;
sdf,1,2018-06-17,00:07,;
sdf,1961,2018-06-17,01:57,;
sdf,1296,2018-06-17,01:00,;
cvb,31,2018-06-17,00:04,;
sdf,3507,2018-06-17,03:30,;
dfg,1,2018-06-17,00:05,;
sdf,1,2018-06-17,00:02,;
asd,1945,2018-06-17,01:11,;
sdfsdf,253,2018-06-17,00:13,;
sdfsdf,391,2018-06-17,00:41,;
sdf,135,2018-06-17,00:31,;
sdfsdf,733,2018-06-17,01:03,;
asd,201,2018-06-18,00:23,;
asd,334,2018-06-18,00:17,;
dfgd,151,2018-06-18,00:23,;
sdfsd,134,2018-06-18,00:21,;
asd,234,2018-06-18,00:21,;
sdfsd,202,2018-06-18,00:19,;
zxc,711,2018-06-18,00:49,;
asd,241,2018-06-18,00:11,;
sdf,29,2018-06-18,00:07,;
sdf,20,2018-06-18,00:05,;
asd,1049,2018-06-18,01:00,;
Blazo,24,2018-06-21,00:04,;
	sdfsd,1,2018-06-21,00:01,;
	,1,2018-06-21,00:02,;
	,1,2018-06-21,00:04,;
 ,1,2018-06-21,00:02,;
sdf,1,2018-06-21,00:01,;
	sdf,1,2018-06-21,00:01,;
a,1,2018-06-21,00:01,;
n,1,2018-06-21,00:02,;
s,1,2018-06-21,00:03,;
dfgdfg,1,2018-06-21,00:02,;
fdgh,1,2018-06-21,00:02,;
,1,2018-06-21,00:03,;
,1,2018-06-21,00:02,;
,1,2018-06-21,00:04,;
sd,1,2018-06-21,00:05,;
	,1,2018-06-21,00:04,;
,1,2018-06-21,00:02,;
,1,2018-06-21,00:02,;
,1,2018-06-21,00:02,;
,1,2018-06-21,00:03,;
,1,2018-06-21,00:01,;
,1,2018-06-21,00:02,;
,1,2018-06-21,00:00,;
,1,2018-06-21,00:02,;
	,1,2018-06-21,00:01,;
	,1,2018-06-21,00:01,;
	,1,2018-06-21,00:04,;
	,1,2018-06-21,00:00,;
	,1,2018-06-21,00:02,;
